# Actions and States
# action[0], ..., state[0], ..., command[0], ...
0.6769835949 0.1438375115 0.0054202816 -0.0152889574 0.1909009790 0.1662116942 -0.0974168080 0.0205615760 0.0047495699 1.4593245578 0.5413296007 0.8406650703 -0.0156365908 -0.8404782992 0.5415448580 0.0180387159 0.0236324337 0.0033773244 0.9997150103 0.6523112603 0.3833558983 -0.1772499378 0.0006596545 0.0005735125 0.0000032634 0.0176449642 0.0005380678 0.1652756780 0.1440275311 -0.1102403179 -0.3934179842 -0.3428394198 0.2624132037 0.5577497678 0.8297010528 -0.0159877104 0.0000000000 0.0000000000 -0.4102811828
0.7673580647 0.1505199820 0.0066361721 -0.0091570811 0.1910258910 0.1662384172 -0.0893721667 0.0281489320 0.0057409504 1.7112289175 0.5420396551 0.8401689016 -0.0175849089 -0.8399009098 0.5423157206 0.0214504288 0.0275585557 0.0031425980 0.9996152510 0.7079879385 0.3883034800 -0.1828126081 0.0007831160 0.0006801628 0.0000907936 0.0187868960 0.0006290235 0.1633202583 0.1423234940 -0.1089360267 -0.3887633383 -0.3387831748 0.2593085170 0.5593749257 0.8285225124 -0.0180262138 0.0000000000 0.0000000000 -0.4079305866
0.8392093182 0.1587276757 0.0078323744 -0.0029560614 0.1911938074 0.1662700136 -0.0800159849 0.0374445647 0.0066964916 1.9800928780 0.5427576857 0.8396614151 -0.0195653415 -0.8392894140 0.5431031358 0.0251448490 0.0317391578 0.0027734239 0.9994923381 0.7661021344 0.3945713292 -0.1859223633 0.0009171393 0.0007955249 0.0002152617 0.0198959205 0.0007255847 0.1613879502 0.1406396180 -0.1076471731 -0.3841637373 -0.3347749114 0.2562405467 0.5609750175 0.8273438355 -0.0201096587 0.0000000000 0.0000000000 -0.4052625904
0.8771593571 0.1655755937 0.0070093987 -0.0195924677 0.1914136283 0.1663061160 -0.0692730701 0.0485630460 0.0075526880 2.2626440864 0.5434722671 0.8391495704 -0.0215845655 -0.8386466642 0.5438959998 0.0291361300 0.0361893299 0.0022671452 0.9993423800 0.8272890317 0.4021601482 -0.1865406294 0.0010618449 0.0009195206 0.0003834894 0.0209827349 0.0008276120 0.1594785303 0.1389756650 -0.1063735634 -0.3796185851 -0.3308140934 0.2532088757 0.5625472391 0.8261659605 -0.0222458751 0.0000000000 0.0000000000 -0.4022321263
0.9024949074 0.1730251759 0.0068924604 -0.0451523326 0.1916945209 0.1663460179 -0.0570907106 0.0615028682 0.0082386867 2.5532684079 0.5441867800 0.8386308224 -0.0236451312 -0.8379654648 0.5446978332 0.0334387545 0.0409222219 0.0016168752 0.9991610268 0.8912450034 0.4092711999 -0.1917421943 0.0012173996 0.0010520698 0.0006026168 0.0220402610 0.0009349753 0.1575916857 0.1373313963 -0.1051150188 -0.3751271963 -0.3269001245 0.2502130866 0.5640886623 0.8249900177 -0.0244381703 0.0000000000 0.0000000000 -0.3988114076
0.9233853817 0.1805678010 0.0074267290 -0.0695677996 0.1920456826 0.1663886701 -0.0434393248 0.0763074969 0.0086895359 2.8488868260 0.5449327558 0.8380843933 -0.0257457064 -0.8372198931 0.5455399991 0.0380652057 0.0459471675 0.0008118401 0.9989435413 0.9580599991 0.4160846494 -0.2060644646 0.0013840175 0.0011930896 0.0008799885 0.0230278037 0.0010474252 0.1557271630 0.1357065886 -0.1038713753 -0.3706889451 -0.3230324686 0.2472527474 0.5655964237 0.8238173632 -0.0266845527 0.0000000000 0.0000000000 -0.3949681017
0.9402263761 0.1930293292 -0.0068017314 -0.0934781581 0.1924764890 0.1664327151 -0.0283026964 0.0929848165 0.0088480970 3.1464587948 0.5457380521 0.8374886569 -0.0279772768 -0.8363846862 0.5464547062 0.0429873330 0.0512897184 -0.0000600575 0.9986838144 1.0113676939 0.4585443589 -0.2265269221 0.0015619609 0.0013424921 0.0012230624 0.0239043664 0.0011645078 0.1538847089 0.1341009885 -0.1026424393 -0.3663032055 -0.3192105591 0.2443274111 0.5670623973 0.8226466380 -0.0290733305 0.0000000000 0.0000000000 -0.3910817007
0.9536389709 0.2109642476 -0.0334002599 -0.1170561165 0.1929964387 0.1664766715 -0.0116765448 0.1115907223 0.0087179463 3.4444342335 0.5466107288 0.8368303513 -0.0305233419 -0.8354458915 0.5474617034 0.0481232353 0.0569813446 -0.0008040762 0.9983749195 1.0501791864 0.5290864467 -0.2514336998 0.0017515398 0.0015001833 0.0016393462 0.0246457141 0.0012856065 0.1520640403 0.1325144023 -0.1014280394 -0.3619693518 -0.3154338598 0.2414366901 0.5684707292 0.8214726873 -0.0317833504 0.0000000000 0.0000000000 -0.3870715172
0.9642207623 0.2316550463 -0.0604574308 -0.1401416063 0.1936152907 0.1665192617 0.0064365096 0.1321559646 0.0083589523 3.7411844499 0.5475570422 0.8360997981 -0.0334426836 -0.8343923811 0.5485757109 0.0534232523 0.0630130144 -0.0013479576 0.9980117950 1.0835996339 0.5984414192 -0.2789345065 0.0019531144 0.0016660634 0.0021363508 0.0252333004 0.0014099977 0.1502649337 0.1309465766 -0.1002280116 -0.3576867580 -0.3117018640 0.2385801822 0.5698098408 0.8202927501 -0.0348690427 0.0000000000 0.0000000000 -0.3826211630
0.9721108675 0.2566623092 -0.0870550573 -0.1618518680 0.1943430182 0.1665595489 0.0260281489 0.1547477157 0.0078391434 4.0361833626 0.5485833372 0.8352899538 -0.0367017065 -0.8332146264 0.5498070149 0.0588696244 0.0693520615 -0.0017144963 0.9975907738 1.1140493122 0.6610541953 -0.3089103259 0.0021670952 0.0018400289 0.0027215583 0.0256530680 0.0015368768 0.1484870911 0.1293973029 -0.0990421847 -0.3534548581 -0.3080140352 0.2357574552 0.5710734629 0.8191064018 -0.0382930236 0.0000000000 0.0000000000 -0.3776833100
